CUSTOMER_ID,POSTING_MONTH,CUSTOMER_CLAIMS,INCIDENT_COUNT,INCIDENT_RESOLVED_IN_TIME,IN_TIME_PAYMENT,INVOICE_ON_TIME,EU_VAT_ISSUE,GEOGRAPHY,ACTIVE_FLAG,CUSTOMER_SATISFACTION,CUSTOMER_RETAINED
CUST02759,01-06-2024,25,5,Yes,Yes,Yes,No,North America,Yes,3.8,Yes
CUST03261,01-11-2024,500,2,Yes,No,Yes,No,EU,Yes,2.8,No
CUST04108,01-09-2023,250,4,Yes,Yes,Yes,No,Oceania,Yes,5,Yes
CUST01896,01-11-2023,1000,8,Yes,Yes,Yes,No,North America,Yes,4,Yes
CUST02501,01-07-2023,10,0,Yes,Yes,Yes,No,EU,No,5,Yes
CUST02830,01-11-2023,10,0,Yes,Yes,Yes,No,North America,Yes,4.7,Yes
CUST03874,01-01-2023,1000,1,Yes,Yes,Yes,No,Oceania,Yes,5,Yes
CUST00048,01-09-2023,10,0,Yes,Yes,Yes,No,North America,Yes,4.6,Yes
CUST02365,01-06-2023,5,0,Yes,Yes,Yes,No,North America,Yes,4.5,Yes
CUST02257,01-03-2023,10,7,Yes,Yes,Yes,No,APAC,Yes,4.3,Yes
CUST04673,01-11-2023,1000,1,Yes,Yes,Yes,No,EU,Yes,4.9,Yes
CUST00754,01-10-2024,500,5,Yes,Yes,Yes,No,Oceania,Yes,3.1,No
CUST02803,01-10-2024,50,5,Yes,Yes,Yes,No,EU,Yes,4,Yes
CUST04650,01-03-2024,1000,1,Yes,Yes,Yes,No,MEA,Yes,3.1,No
CUST03653,01-06-2023,100,3,Yes,Yes,Yes,No,North America,Yes,4.4,Yes
CUST00403,01-04-2024,25,2,Yes,Yes,Yes,No,APAC,Yes,3.3,Yes
CUST02087,01-10-2023,25,10,Yes,Yes,Yes,No,South America,Yes,3.4,No
CUST02228,01-10-2024,500,7,Yes,Yes,Yes,No,Oceania,Yes,1.9,Yes
CUST03411,01-07-2024,10,10,Yes,Yes,Yes,No,APAC,Yes,5,Yes
CUST02991,01-11-2024,10,10,No,No,No,No,MEA,Yes,2.5,Yes
CUST04644,01-12-2023,10,4,Yes,Yes,Yes,No,APAC,Yes,4,Yes
CUST01150,01-10-2024,1000,2,Yes,Yes,Yes,No,APAC,Yes,4.2,Yes
CUST00063,01-06-2024,1000,2,Yes,Yes,Yes,No,MEA,Yes,4.9,Yes
CUST04940,01-01-2024,500,5,Yes,Yes,Yes,No,Oceania,Yes,3.2,Yes
CUST03154,01-07-2024,5,1,No,No,No,No,EU,Yes,2.4,No
CUST01009,01-06-2023,25,9,Yes,Yes,Yes,No,South America,Yes,4.5,Yes
CUST02032,01-07-2023,50,9,Yes,Yes,Yes,No,North America,No,4.6,Yes
CUST01323,01-02-2024,50,0,Yes,Yes,Yes,No,APAC,Yes,3.9,Yes
CUST02082,01-07-2024,1000,7,Yes,Yes,Yes,No,Oceania,Yes,3.6,Yes
CUST00752,01-09-2024,500,9,Yes,Yes,Yes,No,Oceania,Yes,3.6,Yes
CUST04145,01-09-2024,10,2,Yes,No,Yes,No,APAC,Yes,2.6,No
CUST00658,01-10-2024,50,8,No,Yes,Yes,No,Oceania,Yes,1.6,Yes
CUST01661,01-07-2023,5,1,Yes,Yes,Yes,No,South America,Yes,5,Yes
CUST00701,01-10-2024,25,0,Yes,Yes,Yes,No,South America,Yes,3.6,Yes
CUST01081,01-05-2023,500,3,Yes,Yes,Yes,No,North America,Yes,4.3,Yes
CUST02157,01-04-2023,500,3,Yes,Yes,Yes,No,EU,Yes,3.3,No
CUST01541,01-12-2023,500,7,Yes,Yes,Yes,No,MEA,Yes,3.3,No
CUST03033,01-06-2023,10,10,Yes,Yes,Yes,No,MEA,Yes,3.2,No
CUST01984,01-08-2024,100,12,Yes,Yes,Yes,No,South America,Yes,3.4,No
CUST00315,01-10-2024,5,11,Yes,Yes,Yes,No,APAC,Yes,4.6,Yes
CUST03082,01-03-2023,250,6,Yes,Yes,Yes,No,Oceania,No,3.7,Yes
CUST04734,01-10-2023,25,7,Yes,Yes,Yes,No,APAC,Yes,5,Yes
CUST02315,01-02-2023,10,5,No,Yes,Yes,No,Oceania,Yes,2.6,No
CUST02136,01-05-2024,5,2,Yes,Yes,Yes,No,North America,Yes,3.4,No
CUST01650,01-04-2023,100,0,Yes,Yes,Yes,No,MEA,Yes,3.6,Yes
CUST03220,01-03-2024,500,5,Yes,Yes,Yes,No,MEA,Yes,4.3,Yes
CUST03801,01-06-2023,5,5,Yes,No,Yes,No,MEA,Yes,3,No
CUST02479,01-10-2023,5,8,Yes,Yes,Yes,No,South America,Yes,4.6,Yes
CUST04068,01-09-2023,5,3,Yes,Yes,Yes,No,Oceania,Yes,4.2,Yes
CUST01776,01-08-2024,100,12,Yes,Yes,Yes,No,MEA,Yes,5,Yes
CUST01967,01-06-2023,50,11,Yes,Yes,Yes,No,APAC,Yes,3.1,No
CUST01768,01-03-2024,1000,3,No,Yes,No,No,South America,Yes,2.1,Yes
CUST03816,01-05-2023,100,7,Yes,Yes,Yes,No,Oceania,Yes,4.5,Yes
CUST00242,01-08-2024,500,12,Yes,Yes,Yes,No,MEA,Yes,4.6,Yes
CUST04798,01-05-2023,5,9,Yes,No,Yes,No,Oceania,Yes,1.5,Yes
CUST02950,01-01-2024,5,4,Yes,Yes,Yes,No,APAC,Yes,4.1,Yes
CUST04837,01-05-2023,5,5,Yes,Yes,Yes,No,Oceania,Yes,3.9,Yes
CUST04877,01-11-2024,50,1,Yes,Yes,Yes,No,APAC,Yes,3.1,No
CUST02257,01-02-2023,5,12,Yes,Yes,Yes,No,APAC,Yes,5,Yes
CUST04112,01-05-2023,50,10,Yes,Yes,Yes,No,APAC,Yes,3.2,No
CUST03369,01-07-2023,5,5,Yes,Yes,Yes,No,North America,Yes,5,Yes
CUST00367,01-05-2024,250,2,Yes,Yes,Yes,No,MEA,Yes,4.4,Yes
CUST02828,01-08-2024,500,8,Yes,Yes,Yes,No,Oceania,Yes,4.2,Yes
CUST01253,01-07-2023,25,8,Yes,Yes,Yes,No,MEA,Yes,4,Yes
CUST02488,01-07-2024,100,7,Yes,Yes,Yes,No,South America,Yes,4.3,Yes
CUST04786,01-06-2024,100,8,Yes,No,Yes,Yes,EU,Yes,3.1,No
CUST03604,01-11-2023,5,1,Yes,No,Yes,No,APAC,Yes,2.5,Yes
CUST03522,01-12-2024,50,7,Yes,Yes,Yes,No,APAC,Yes,5,Yes
CUST04943,01-05-2024,25,0,Yes,Yes,Yes,No,Oceania,Yes,3.1,Yes
CUST04518,01-08-2024,50,11,Yes,Yes,Yes,No,APAC,Yes,3.4,No
CUST01644,01-06-2024,50,7,Yes,No,Yes,No,South America,Yes,2.4,No
CUST01213,01-01-2023,5,0,Yes,Yes,Yes,No,Oceania,Yes,4.2,Yes
CUST04704,01-11-2023,25,11,Yes,No,Yes,No,South America,Yes,2.6,No
CUST00020,01-07-2023,500,9,Yes,Yes,Yes,No,North America,Yes,4,Yes
CUST00676,01-04-2023,100,2,Yes,Yes,Yes,No,MEA,Yes,3.3,No
CUST04478,01-03-2024,10,5,Yes,Yes,Yes,No,APAC,Yes,3.8,Yes
CUST00609,01-01-2024,500,6,Yes,Yes,Yes,No,North America,Yes,5,Yes
CUST00062,01-02-2024,500,7,No,Yes,Yes,No,Oceania,Yes,2.6,Yes
CUST01266,01-11-2023,500,7,Yes,Yes,Yes,No,South America,Yes,3.1,No
CUST02286,01-01-2024,100,0,Yes,Yes,Yes,No,MEA,No,2.9,No
CUST01155,01-02-2023,25,0,Yes,Yes,Yes,No,EU,Yes,4,Yes
CUST01629,01-07-2024,50,5,Yes,Yes,Yes,No,Oceania,No,4,Yes
CUST01627,01-07-2024,25,4,Yes,Yes,Yes,No,Oceania,Yes,3.4,No
CUST03717,01-05-2023,50,2,Yes,Yes,Yes,No,MEA,Yes,4.7,Yes
CUST01443,01-08-2023,250,6,Yes,Yes,Yes,No,EU,Yes,3.6,Yes
CUST01654,01-07-2024,10,4,Yes,No,Yes,No,APAC,No,3.1,Yes
CUST02503,01-01-2024,25,8,Yes,Yes,Yes,Yes,EU,Yes,4.8,Yes
CUST03270,01-09-2024,250,3,Yes,Yes,Yes,No,EU,Yes,3.4,Yes
CUST00282,01-06-2023,100,4,Yes,Yes,Yes,No,Oceania,No,3.4,No
CUST04982,01-06-2024,5,11,Yes,Yes,Yes,No,APAC,Yes,3.5,Yes
CUST01025,01-08-2023,250,8,Yes,Yes,Yes,No,South America,Yes,3.8,Yes
CUST04819,01-04-2023,100,2,Yes,Yes,Yes,No,APAC,Yes,4.7,Yes
CUST03404,01-10-2024,1000,11,Yes,Yes,Yes,No,MEA,Yes,4.4,Yes
CUST01236,01-05-2024,5,9,Yes,Yes,Yes,No,APAC,No,4.2,Yes
CUST04183,01-09-2024,100,3,Yes,No,Yes,No,APAC,Yes,2.7,Yes
CUST04761,01-10-2023,25,10,Yes,Yes,Yes,No,MEA,No,3.6,Yes
CUST04958,01-09-2023,1000,2,Yes,Yes,Yes,No,APAC,Yes,3.5,Yes
CUST00786,01-06-2023,10,11,Yes,Yes,Yes,No,Oceania,Yes,4.1,Yes
CUST03318,01-07-2024,50,3,Yes,Yes,Yes,No,MEA,Yes,3.4,No
CUST01668,01-10-2023,5,3,Yes,Yes,Yes,No,Oceania,Yes,4.9,Yes
CUST03009,01-08-2024,500,1,Yes,Yes,Yes,No,South America,Yes,4.2,Yes
CUST03195,01-02-2024,250,2,Yes,Yes,Yes,No,North America,No,4.1,Yes
CUST04790,01-01-2023,5,4,Yes,Yes,Yes,No,MEA,Yes,2.7,Yes
CUST03776,01-11-2023,100,12,Yes,No,Yes,No,MEA,Yes,3,Yes
CUST02447,01-06-2024,100,12,Yes,No,Yes,No,South America,Yes,3.1,Yes
CUST03791,01-06-2024,50,2,Yes,Yes,Yes,No,APAC,Yes,3.6,Yes
CUST00534,01-06-2023,100,8,Yes,Yes,Yes,No,Oceania,Yes,4.7,Yes
CUST00402,01-10-2024,500,3,No,Yes,No,No,EU,Yes,2.9,Yes
CUST03664,01-02-2023,100,9,No,No,Yes,Yes,EU,Yes,2.1,No
CUST00130,01-11-2023,5,10,Yes,Yes,Yes,No,APAC,Yes,4.9,Yes
CUST02340,01-12-2023,5,0,Yes,Yes,Yes,No,South America,Yes,3.2,No
CUST04372,01-09-2023,500,6,Yes,Yes,Yes,No,EU,Yes,3.5,Yes
CUST02960,01-11-2023,100,11,Yes,Yes,Yes,No,APAC,Yes,4.5,Yes
CUST01859,01-07-2024,50,12,Yes,Yes,Yes,No,APAC,Yes,4.7,Yes
CUST02974,01-07-2023,10,11,Yes,Yes,Yes,No,Oceania,Yes,2.8,Yes
CUST04151,01-05-2023,1000,1,Yes,Yes,Yes,No,South America,Yes,3.8,Yes
CUST03650,01-02-2024,100,6,Yes,Yes,Yes,No,North America,Yes,4.9,Yes
CUST02787,01-06-2024,100,7,Yes,Yes,Yes,No,South America,Yes,3.6,Yes
CUST03098,01-04-2024,500,12,Yes,Yes,Yes,No,MEA,Yes,4.6,Yes
CUST03513,01-02-2023,250,2,Yes,Yes,Yes,No,APAC,Yes,3.7,Yes
CUST04861,01-02-2024,500,1,Yes,Yes,Yes,No,Oceania,Yes,4.6,Yes
CUST01221,01-09-2024,100,10,Yes,Yes,Yes,No,Oceania,Yes,4.8,Yes
CUST00642,01-06-2023,50,9,Yes,Yes,Yes,No,APAC,Yes,5,Yes
CUST03315,01-01-2023,250,3,Yes,Yes,Yes,No,MEA,Yes,4,Yes
CUST00724,01-07-2024,25,6,Yes,Yes,Yes,No,South America,Yes,3.2,No
CUST04898,01-06-2023,500,9,Yes,Yes,Yes,No,APAC,Yes,3.8,Yes
CUST00738,01-03-2023,100,0,Yes,Yes,Yes,No,EU,Yes,3.9,Yes
CUST04854,01-01-2024,50,3,Yes,Yes,Yes,No,South America,Yes,3.6,Yes
CUST01300,01-09-2023,500,11,Yes,Yes,Yes,Yes,EU,Yes,4.3,Yes
CUST03481,01-11-2024,250,9,Yes,Yes,Yes,No,South America,Yes,4.1,Yes
CUST00340,01-01-2023,5,10,Yes,Yes,Yes,No,South America,Yes,3.9,Yes
CUST00153,01-12-2024,50,9,Yes,Yes,Yes,No,MEA,No,5,Yes
CUST01422,01-04-2023,5,12,No,No,No,Yes,EU,Yes,2.9,Yes
CUST03052,01-03-2024,5,6,Yes,Yes,Yes,No,Oceania,Yes,3.9,Yes
CUST00427,01-02-2024,25,4,Yes,Yes,Yes,No,EU,Yes,3.6,Yes
CUST03559,01-11-2024,100,12,Yes,Yes,Yes,No,MEA,Yes,1.9,No
CUST01136,01-07-2023,5,2,Yes,No,Yes,No,North America,Yes,3,No
CUST02373,01-12-2024,10,1,Yes,No,Yes,No,MEA,Yes,2.3,No
CUST03330,01-08-2023,25,0,Yes,Yes,Yes,No,MEA,Yes,4.4,Yes
CUST00950,01-12-2024,100,3,No,Yes,No,No,South America,Yes,2.5,Yes
CUST01374,01-08-2024,1000,8,No,Yes,Yes,No,North America,Yes,2.4,Yes
CUST00957,01-08-2023,100,3,Yes,Yes,Yes,No,MEA,Yes,3.4,No
CUST01702,01-12-2024,5,7,Yes,Yes,Yes,No,MEA,Yes,3.3,No
CUST02942,01-05-2024,500,3,Yes,Yes,Yes,No,MEA,Yes,3.2,No
CUST02483,01-05-2023,500,12,Yes,No,Yes,No,APAC,Yes,2.6,No
CUST01304,01-07-2023,1000,0,Yes,Yes,Yes,No,APAC,Yes,4.4,Yes
CUST00371,01-01-2023,50,8,Yes,Yes,Yes,No,Oceania,Yes,3.4,No
CUST02981,01-11-2023,1000,8,Yes,Yes,Yes,No,South America,Yes,4.5,Yes
CUST02297,01-11-2023,250,11,No,Yes,No,No,North America,No,2.7,No
CUST04799,01-07-2023,500,0,Yes,Yes,Yes,No,North America,Yes,3,No
CUST02126,01-02-2024,25,7,Yes,Yes,Yes,No,North America,Yes,2.8,Yes
CUST02967,01-09-2024,10,0,Yes,Yes,Yes,No,North America,Yes,3.6,Yes
CUST04146,01-01-2023,250,12,Yes,No,Yes,No,Oceania,Yes,3,No
CUST02743,01-01-2023,100,10,Yes,Yes,Yes,No,MEA,Yes,4.6,Yes
CUST04022,01-05-2023,250,6,No,Yes,No,No,EU,Yes,1.6,Yes
CUST02365,01-01-2023,1000,1,Yes,Yes,Yes,No,North America,Yes,5,Yes
CUST00763,01-05-2024,100,8,Yes,Yes,Yes,No,MEA,Yes,3.3,No
CUST04063,01-01-2024,5,5,No,No,Yes,No,Oceania,Yes,2.9,Yes
CUST01005,01-04-2024,5,6,Yes,Yes,Yes,No,North America,Yes,5,Yes
CUST03756,01-08-2023,1000,2,Yes,Yes,Yes,No,Oceania,Yes,3.5,Yes
CUST02847,01-04-2024,10,11,Yes,Yes,Yes,No,APAC,Yes,3.3,Yes
CUST00350,01-05-2023,25,8,Yes,No,Yes,No,APAC,No,3,No
CUST02965,01-03-2024,100,1,Yes,Yes,Yes,No,South America,Yes,3.4,No
CUST00687,01-11-2023,1000,4,Yes,Yes,Yes,No,Oceania,Yes,4,Yes
CUST04638,01-02-2023,50,12,Yes,Yes,Yes,No,MEA,Yes,4.1,Yes
CUST03127,01-09-2024,500,6,No,No,No,No,MEA,Yes,2.5,Yes
CUST04457,01-05-2024,500,9,Yes,No,Yes,No,South America,Yes,2.5,No
CUST02756,01-01-2023,1000,6,Yes,Yes,Yes,Yes,EU,Yes,4.5,Yes
CUST03525,01-09-2023,25,12,Yes,No,Yes,No,North America,Yes,3.1,Yes
CUST03625,01-04-2023,10,5,Yes,Yes,Yes,No,EU,Yes,3.5,Yes
CUST02733,01-10-2023,1000,5,Yes,Yes,Yes,No,Oceania,Yes,3.7,Yes
CUST01694,01-04-2023,250,2,Yes,Yes,Yes,No,MEA,Yes,4.9,Yes
CUST02893,01-04-2024,10,6,Yes,Yes,Yes,No,North America,Yes,4.8,Yes
CUST03812,01-10-2024,250,6,Yes,Yes,Yes,No,MEA,Yes,3.9,Yes
CUST04181,01-11-2024,100,6,Yes,No,Yes,No,EU,Yes,3,Yes
CUST00685,01-12-2024,10,0,Yes,Yes,Yes,No,North America,Yes,5,Yes
CUST04341,01-02-2023,1000,2,Yes,Yes,Yes,No,MEA,Yes,4.2,Yes
CUST02920,01-07-2023,25,12,Yes,Yes,Yes,No,EU,Yes,4.8,Yes
CUST03757,01-08-2024,250,4,Yes,Yes,Yes,No,EU,Yes,3.4,No
CUST03284,01-01-2023,100,7,No,No,No,No,Oceania,Yes,2.6,Yes
CUST04692,01-05-2024,10,1,Yes,Yes,Yes,No,North America,Yes,4.1,Yes
CUST04027,01-09-2023,25,5,Yes,Yes,Yes,No,APAC,Yes,3.6,Yes
CUST01157,01-02-2023,50,9,Yes,Yes,Yes,No,MEA,Yes,5,Yes
CUST03062,01-05-2023,100,1,Yes,Yes,Yes,Yes,EU,Yes,3.5,Yes
CUST04446,01-11-2024,25,10,Yes,Yes,Yes,No,North America,Yes,3.2,No
CUST02330,01-10-2023,250,8,Yes,Yes,Yes,No,North America,No,4.8,Yes
CUST01293,01-02-2024,5,5,Yes,Yes,Yes,No,Oceania,Yes,3.2,Yes
CUST01885,01-05-2024,250,0,Yes,Yes,Yes,No,Oceania,Yes,3.4,No
CUST01561,01-12-2023,500,3,No,No,No,No,MEA,Yes,2.2,No
CUST00984,01-06-2024,50,1,Yes,Yes,Yes,No,North America,Yes,4.6,Yes
CUST02068,01-11-2023,500,6,Yes,Yes,Yes,No,South America,Yes,3.4,No
CUST01864,01-04-2024,100,8,No,No,Yes,No,Oceania,Yes,2.5,No
CUST01980,01-06-2023,1000,5,Yes,Yes,Yes,No,North America,Yes,4.6,Yes
CUST01737,01-07-2023,50,8,Yes,Yes,Yes,No,APAC,Yes,3.4,No
CUST02453,01-01-2023,250,1,Yes,Yes,Yes,No,APAC,Yes,5,Yes
CUST01919,01-05-2024,50,2,Yes,Yes,Yes,No,APAC,No,4.7,Yes
CUST00701,01-08-2024,250,3,Yes,Yes,Yes,No,South America,Yes,2.5,Yes
CUST04047,01-02-2024,1000,6,Yes,Yes,Yes,No,Oceania,Yes,4.3,Yes
CUST02074,01-06-2024,25,1,Yes,Yes,Yes,No,Oceania,No,4.5,Yes
CUST04662,01-12-2023,1000,4,No,No,Yes,No,South America,Yes,2.1,No
CUST03754,01-03-2024,100,10,Yes,Yes,Yes,No,MEA,Yes,3.4,No
CUST00395,01-02-2024,5,0,Yes,Yes,Yes,No,EU,No,3.1,Yes
CUST01957,01-02-2024,25,6,Yes,Yes,Yes,No,EU,Yes,4.6,Yes
CUST03049,01-09-2024,250,3,No,Yes,Yes,No,EU,Yes,2.8,Yes
CUST03453,01-01-2023,1000,0,Yes,Yes,Yes,No,APAC,Yes,3.8,Yes
CUST00523,01-01-2023,50,0,Yes,Yes,Yes,No,MEA,Yes,5,Yes
CUST01563,01-09-2023,50,2,Yes,Yes,Yes,No,North America,Yes,1.8,No
CUST02910,01-08-2023,50,1,Yes,Yes,Yes,No,North America,Yes,3.7,Yes
CUST02850,01-06-2024,10,11,Yes,Yes,Yes,No,EU,Yes,3.7,Yes
CUST00550,01-09-2024,500,11,No,Yes,No,No,MEA,Yes,1.4,No
CUST01469,01-12-2023,10,11,Yes,Yes,Yes,No,North America,Yes,2.1,Yes
CUST00833,01-08-2024,1000,5,Yes,Yes,Yes,No,North America,Yes,4.4,Yes
CUST04483,01-03-2023,250,11,Yes,Yes,Yes,Yes,EU,Yes,3.5,Yes
CUST01422,01-09-2023,25,3,Yes,Yes,Yes,No,EU,Yes,3.8,Yes
CUST00286,01-05-2023,10,6,Yes,Yes,Yes,No,APAC,Yes,3.5,Yes
CUST02746,01-07-2023,500,4,Yes,Yes,Yes,No,Oceania,Yes,4.7,Yes
CUST03766,01-01-2023,10,12,Yes,Yes,Yes,No,North America,Yes,5,Yes
CUST04465,01-12-2023,1000,1,Yes,Yes,Yes,No,North America,Yes,4.6,Yes
CUST01446,01-05-2023,250,2,Yes,No,Yes,No,MEA,Yes,1.5,No
CUST01467,01-07-2024,5,10,Yes,Yes,Yes,No,EU,Yes,3.6,Yes
CUST01777,01-06-2023,100,1,Yes,Yes,Yes,No,South America,No,4.9,Yes
CUST03656,01-12-2024,50,2,Yes,Yes,Yes,Yes,EU,Yes,3.2,No
CUST00915,01-10-2023,10,2,Yes,Yes,Yes,No,South America,Yes,4.9,Yes
CUST00288,01-04-2024,1000,0,Yes,Yes,Yes,No,MEA,Yes,3.3,Yes
CUST04191,01-07-2023,50,7,No,Yes,No,No,APAC,Yes,2.5,No
CUST02089,01-01-2024,50,0,Yes,Yes,Yes,No,MEA,Yes,4.2,Yes
CUST04427,01-09-2024,50,3,Yes,Yes,Yes,No,South America,Yes,4,Yes
CUST01805,01-11-2024,500,6,Yes,No,Yes,No,EU,Yes,3.1,Yes
CUST01179,01-09-2023,250,3,Yes,Yes,Yes,No,MEA,No,4.8,Yes
CUST02552,01-04-2024,5,9,No,No,No,No,EU,Yes,1.9,Yes
CUST04371,01-03-2024,25,4,Yes,Yes,Yes,No,North America,Yes,4.5,Yes
CUST01589,01-08-2024,25,3,Yes,No,Yes,No,Oceania,Yes,3.1,Yes
CUST01957,01-06-2023,50,0,Yes,Yes,Yes,No,EU,Yes,5,Yes
CUST01776,01-04-2023,25,10,Yes,Yes,Yes,No,MEA,Yes,4.3,Yes
CUST04863,01-10-2023,500,12,Yes,Yes,Yes,No,APAC,Yes,3.3,No
CUST00988,01-08-2023,5,1,Yes,No,Yes,No,Oceania,Yes,2.7,No
CUST01204,01-12-2024,5,2,Yes,No,Yes,No,Oceania,Yes,2.1,Yes
CUST03331,01-05-2023,250,5,Yes,Yes,Yes,No,South America,Yes,3.5,Yes
CUST01120,01-02-2024,25,8,Yes,Yes,Yes,No,South America,Yes,3.7,Yes
CUST00197,01-11-2024,25,8,Yes,Yes,Yes,No,EU,Yes,4.5,Yes
CUST03976,01-07-2023,250,11,Yes,No,Yes,No,North America,Yes,3,Yes
CUST00526,01-09-2024,10,6,Yes,Yes,Yes,No,EU,Yes,3.9,Yes
CUST04728,01-08-2023,500,9,Yes,Yes,Yes,No,APAC,Yes,3.3,Yes
CUST01411,01-03-2023,100,7,Yes,Yes,Yes,No,North America,Yes,4.9,Yes
CUST04504,01-11-2023,5,5,Yes,Yes,Yes,No,APAC,Yes,3.5,Yes
CUST01293,01-11-2024,5,4,No,No,No,No,Oceania,Yes,2.9,No
CUST01195,01-04-2023,50,4,Yes,No,Yes,Yes,EU,Yes,2.5,Yes
CUST01949,01-05-2023,10,12,Yes,Yes,Yes,No,North America,No,3.2,Yes
CUST03656,01-03-2024,500,9,Yes,Yes,Yes,No,EU,Yes,3.4,No
CUST04787,01-06-2023,250,11,Yes,Yes,Yes,No,Oceania,Yes,3.4,No
CUST02218,01-04-2023,25,6,Yes,Yes,Yes,No,APAC,Yes,4,Yes
CUST04255,01-07-2024,10,3,Yes,Yes,Yes,No,APAC,Yes,3.3,No
CUST03581,01-08-2024,250,2,No,No,No,No,APAC,Yes,2.9,No
CUST01018,01-02-2024,100,7,Yes,Yes,Yes,No,North America,Yes,3.2,Yes
CUST03154,01-11-2023,500,4,Yes,Yes,Yes,No,EU,Yes,3.4,No
CUST03591,01-08-2024,10,8,Yes,Yes,Yes,No,South America,Yes,3.1,Yes
CUST04208,01-09-2023,10,12,No,Yes,No,No,EU,Yes,2.2,No
CUST04070,01-10-2023,5,4,Yes,No,Yes,No,South America,Yes,2.2,Yes
CUST00048,01-04-2023,1000,10,No,No,No,No,North America,Yes,1.8,Yes
